pre_corridor_id,post_corridor_id,metric,pre_value,post_value
16th St,16th St,Monthly Ridership,13296.142857142857,12103.0
18th St NE,18th St NE,Monthly Ridership,5338.428571428572,2148.0
5th St NW,5th St NW,Monthly Ridership,2590.1428571428573,2077.0
Alabama Ave,Alabama Ave,Monthly Ridership,17080.85714285714,11254.333333333334
Bladensburg,Bladensburg,Monthly Ridership,8908.714285714286,6083.333333333333
Connecticut Ave,Connecticut Ave,Monthly Ridership,6770.857142857143,3486.5
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Monthly Ridership,15398.285714285714,9342.333333333334
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Monthly Ridership,1388.142857142857,1260.5
Georgia Ave,Georgia Ave,Monthly Ridership,21214.0,19486.833333333332
H St / Benning Rd / D St,H St / Benning Rd / D St,Monthly Ridership,16466.285714285714,16356.833333333334
Irving / Michigan,Irving / Michigan,Monthly Ridership,7019.142857142857,6469.666666666667
K St / Ivy City,K St / Ivy City,Monthly Ridership,4233.142857142857,2942.8333333333335
Kansas / Eastern,Kansas / Eastern,Monthly Ridership,412.7142857142857,488.1666666666667
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Monthly Ridership,11793.714285714286,9768.0
MLK Ave / Bellevue,MLK Ave / Bellevue,Monthly Ridership,14782.57142857143,8593.5
MacArthur Blvd,MacArthur Blvd,Monthly Ridership,3560.5714285714284,2139.0
Maryland Ave,Maryland Ave,Monthly Ridership,681.4285714285714,629.1666666666666
Massachusetts Ave,Massachusetts Ave,Monthly Ridership,4281.714285714285,4191.833333333333
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Monthly Ridership,12257.57142857143,11801.0
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Monthly Ridership,2654.714285714286,3622.8333333333335
N Capitol St,N Capitol St,Monthly Ridership,9495.857142857143,3859.5
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Monthly Ridership,7303.857142857143,2279.0
Pennsylvania Ave,Pennsylvania Ave,Monthly Ridership,8660.142857142857,7531.5
Rhode Island Ave / NE,Rhode Island Ave / NE,Monthly Ridership,7643.285714285715,4676.666666666667
Skyland / Barry Farm,Skyland / Barry Farm,Monthly Ridership,2982.285714285714,2247.8333333333335
Southern Av / Anacostia,Southern Av / Anacostia,Monthly Ridership,5995.142857142857,2222.8333333333335
U St,U St,Monthly Ridership,17541.428571428572,17087.5
Upper NW,Upper NW,Monthly Ridership,4408.428571428572,3864.1666666666665
Wisconsin Ave,Wisconsin Ave,Monthly Ridership,12087.285714285714,12177.666666666666
11 St / New Hampshire,11 St / New Hampshire,Unique Stops,146.0,77.0
14th St,14th St,Unique Stops,123.0,97.0
16th St,16th St,Unique Stops,131.0,107.0
18th St NE,18th St NE,Unique Stops,157.0,93.0
5th St NW,5th St NW,Unique Stops,89.0,45.0
Alabama Ave,Alabama Ave,Unique Stops,276.0,183.0
Bladensburg,Bladensburg,Unique Stops,96.0,100.0
Connecticut Ave,Connecticut Ave,Unique Stops,112.0,66.0
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Unique Stops,252.0,139.0
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Unique Stops,59.0,58.0
Georgia Ave,Georgia Ave,Unique Stops,138.0,107.0
H St / Benning Rd / D St,H St / Benning Rd / D St,Unique Stops,212.0,175.0
Irving / Michigan,Irving / Michigan,Unique Stops,161.0,103.0
K St / Ivy City,K St / Ivy City,Unique Stops,105.0,77.0
Kansas / Eastern,Kansas / Eastern,Unique Stops,29.0,30.0
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Unique Stops,176.0,127.0
MLK Ave / Bellevue,MLK Ave / Bellevue,Unique Stops,211.0,140.0
MacArthur Blvd,MacArthur Blvd,Unique Stops,152.0,98.0
Maryland Ave,Maryland Ave,Unique Stops,32.0,34.0
Massachusetts Ave,Massachusetts Ave,Unique Stops,158.0,185.0
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Unique Stops,235.0,178.0
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Unique Stops,93.0,99.0
N Capitol St,N Capitol St,Unique Stops,176.0,87.0
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Unique Stops,258.0,102.0
Pennsylvania Ave,Pennsylvania Ave,Unique Stops,125.0,119.0
Rhode Island Ave / NE,Rhode Island Ave / NE,Unique Stops,175.0,161.0
Skyland / Barry Farm,Skyland / Barry Farm,Unique Stops,88.0,55.0
Southern Av / Anacostia,Southern Av / Anacostia,Unique Stops,230.0,74.0
U St,U St,Unique Stops,236.0,201.0
Upper NW,Upper NW,Unique Stops,220.0,173.0
Wisconsin Ave,Wisconsin Ave,Unique Stops,90.0,79.0
11 St / New Hampshire,11 St / New Hampshire,Stops Per Hour,59.015059618355316,58.30489215716285
14th St,14th St,Stops Per Hour,52.38726714420523,34.02163511722614
16th St,16th St,Stops Per Hour,51.88019794359039,43.491845440284465
18th St NE,18th St NE,Stops Per Hour,64.11110300587832,64.58816431730398
5th St NW,5th St NW,Stops Per Hour,68.96214188060883,72.87074886096777
